# timestamps [seconds],pts
329398.120763,2909837
329398.154273,2912033
329398.187784,2914230
329398.221294,2916426
329398.254804,2918622
329398.288315,2920818
329398.321825,2923014
329398.355336,2925210
329398.388846,2927406
329398.422356,2929602
329398.455867,2931798
329398.489377,2933995
329398.522888,2936191
329398.556398,2938387
329398.589908,2940583
329398.623419,2942779
329398.656929,2944975
329398.690440,2947171
329398.723950,2949367
329398.757460,2951563
329398.790971,2953759
329398.824481,2955956
329398.857992,2958152
329398.891502,2960348
329398.925012,2962544
329398.958523,2964740
329398.992033,2966936
329399.025544,2969132
329399.059054,2971328
329399.092564,2973524
329399.126075,2975721
329399.159585,2977917
329399.193096,2980113
329399.226606,2982309
329399.260116,2984505
329399.293627,2986701
329399.327137,2988897
329399.360648,2991093
329399.394158,2993289
329399.427668,2995485
329399.461179,2997682
329399.494689,2999878
329399.528200,3002074
329399.561710,3004270
329399.595220,3006466
329399.628731,3008662
329399.662241,3010858
329399.695752,3013054
329399.729262,3015250
329399.762772,3017446
329399.796283,3019643
329399.829793,3021839
329399.863304,3024035
329399.896814,3026231
329399.930324,3028427
329399.963835,3030623
329399.997345,3032819
329400.030856,3035015
329400.064366,3037211
329400.097876,3039407
329400.131387,3041604
329400.164897,3043800
329400.198408,3045996
329400.231918,3048192
329400.265428,3050388
329400.298939,3052584
329400.332449,3054780
329400.365960,3056976
329400.399470,3059172
329400.432980,3061369
329400.466491,3063565
329400.500001,3065761
329400.533512,3067957
329400.567022,3070153
329400.600532,3072349
329400.634043,3074545
329400.667553,3076741
329400.701064,3078937
329400.734574,3081133
329400.768084,3083330
329400.801595,3085526
329400.835105,3087722
329400.868616,3089918
329400.902126,3092114
329400.935636,3094310
329400.969147,3096506
329401.002657,3098702
329401.036168,3100898
329401.069678,3103095
329401.103188,3105291
329401.136699,3107487
329401.170209,3109683
329401.203720,3111879
329401.237230,3114075
329401.270740,3116271
329401.304251,3118467
329401.337761,3120663
329401.371272,3122859
329401.404782,3125056
329401.438292,3127252
329401.471803,3129448
329401.505313,3131644
329401.538824,3133840
329401.572334,3136036
329401.605844,3138232
329401.639355,3140428
329401.672865,3142624
329401.706376,3144821
329401.739886,3147017
329401.773396,3149213
329401.806907,3151409
329401.840417,3153605
329401.873928,3155801
329401.907438,3157997
329401.940948,3160193
329401.974459,3162389
329402.007969,3164585
329402.041480,3166782
329402.074990,3168978
329402.108500,3171174
329402.142011,3173370
329402.175521,3175566
329402.209032,3177762
329402.242542,3179958
329402.276052,3182154
329402.309563,3184350
329402.343073,3186546
329402.376584,3188743
329402.410094,3190939
329402.443604,3193135
329402.477115,3195331
329402.510625,3197527
329402.544136,3199723
329402.577646,3201919
329402.611156,3204115
329402.644667,3206311
329402.678177,3208508
329402.711688,3210704
329402.745198,3212900
329402.778708,3215096
329402.812219,3217292
329402.845729,3219488
329402.879240,3221684
329402.912750,3223880
329402.946260,3226076
329402.979771,3228272
329403.013281,3230469
329403.046792,3232665
329403.080302,3234861
329403.113812,3237057
329403.147323,3239253
329403.180833,3241449
329403.214344,3243645
329403.247854,3245841
329403.281364,3248037
329403.314875,3250234
329403.348385,3252430
329403.381896,3254626
329403.415406,3256822
329403.448916,3259018
329403.482427,3261214
329403.515937,3263410
329403.549448,3265606
329403.582958,3267802
329403.616468,3269998
329403.649979,3272195
329403.683489,3274391
329403.717000,3276587
329403.750510,3278783
329403.784020,3280979
329403.817531,3283175
329403.851041,3285371
329403.884552,3287567
329403.918062,3289763
329403.951572,3291959
329403.985083,3294156
329404.018593,3296352
329404.052104,3298548
329404.085614,3300744
329404.119124,3302940
329404.152635,3305136
329404.186145,3307332
329404.219656,3309528
329404.253166,3311724
329404.286676,3313920
329404.320187,3316117
329404.353697,3318313
329404.387208,3320509
329404.420718,3322705
329404.454228,3324901
329404.487739,3327097
329404.521249,3329293
329404.554760,3331489
329404.588270,3333685
329404.621780,3335882
329404.655291,3338078
329404.688801,3340274
329404.722312,3342470
329404.755822,3344666
329404.789332,3346862
329404.822843,3349058
329404.856353,3351254
329404.889864,3353450
329404.923374,3355646
329404.956884,3357843
329404.990395,3360039
329405.023905,3362235
329405.057416,3364431
329405.090926,3366627
329405.124436,3368823
329405.157947,3371019
329405.191457,3373215
329405.224968,3375411
329405.258478,3377608
329405.291988,3379804
329405.325499,3382000
329405.359009,3384196
329405.392520,3386392
329405.426030,3388588
329405.459540,3390784
329405.493051,3392980
329405.526561,3395176
329405.560072,3397373
329405.593582,3399569
329405.627092,3401765
329405.660603,3403961
329405.694113,3406157
329405.727624,3408353
329405.761134,3410549
329405.794644,3412745
329405.828155,3414941
329405.861665,3417137
329405.895176,3419334
329405.928686,3421530
329405.962196,3423726
329405.995707,3425922
329406.029217,3428118
329406.062728,3430314
329406.096238,3432510
329406.129748,3434706
329406.163259,3436902
329406.196769,3439098
329406.230280,3441295
329406.263790,3443491
329406.297300,3445687
329406.330811,3447883
329406.364321,3450079
329406.397832,3452275
329406.431342,3454471
329406.464852,3456667
329406.498363,3458863
329406.531873,3461059
329406.565384,3463256
329406.598894,3465452
329406.632404,3467648
329406.665915,3469844
329406.699425,3472040
329406.732936,3474236
329406.766446,3476432
329406.799956,3478628
329406.833467,3480824
329406.866977,3483021
329406.900488,3485217
329406.933998,3487413
329406.967508,3489609
329407.001019,3491805
329407.034529,3494001
329407.068040,3496197
329407.101550,3498393
329407.135060,3500589
329407.168571,3502785
329407.202081,3504982
329407.235592,3507178
329407.269102,3509374
329407.302612,3511570
329407.336123,3513766
329407.369633,3515962
329407.403144,3518158
329407.436654,3520354
329407.470164,3522550
329407.503675,3524747
329407.537185,3526943
329407.570696,3529139
329407.604206,3531335
329407.637716,3533531
329407.671227,3535727
329407.704737,3537923
329407.738248,3540119
329407.771758,3542315
329407.805268,3544511
329407.838779,3546708
329407.872289,3548904
329407.905800,3551100
329407.939310,3553296
329407.972820,3555492
329408.006331,3557688
329408.039841,3559884
329408.073352,3562080
329408.106862,3564276
329408.140372,3566472
329408.173883,3568669
329408.207393,3570865
329408.240904,3573061
329408.274414,3575257
329408.307924,3577453
329408.341435,3579649
329408.374945,3581845
329408.408456,3584041
329408.441966,3586237
329408.475476,3588434
329408.508987,3590630
329408.542497,3592826
329408.576008,3595022
329408.609518,3597218
329408.643028,3599414
329408.676539,3601610
329408.710049,3603806
329408.743560,3606002
329408.777070,3608198
329408.810580,3610395
329408.844091,3612591
329408.877601,3614787
329408.911112,3616983
329408.944622,3619179
